Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Fature 7,Feature 8,Feature 9,Target
17723.4,17773,21645.3,18531.1,15529.3,0,2280.35,3676.96,-0.776546,0
17572.7,17618.2,21633.3,18367.4,15504.8,0,2126.03,3538.36,-0.715222,0
17423,17464.3,21623.1,18204.4,15482.9,0,1979.9,3405.88,-0.709282,0
13978.6,13862.2,20545.6,14301,13701.1,0,200,2236.07,-0.373573,0
13867.9,13724.4,20413.7,14167.6,13579.4,0,400,2280.35,-0.353613,0
13759.4,13588.2,20283,14035.7,13441.7,0,600,2340.94,-0.33093,0
13652.8,13453.6,20153.4,13905.4,13305.6,0,800,2154.07,-0.317819,0
13548.4,13320.7,20025,13776.8,13171.2,0,1000,1969.77,-0.305907,0
13446.2,13189.4,19897.7,13649.9,13038.4,0,1200,1788.85,-0.294276,0
13346.2,13059.9,19771.7,13524.8,12907.4,0,1400,1612.45,-0.276264,0
10925.2,10499.5,17000,11072.5,10285.9,0,1720.47,400,-0.171534,0
10846.2,10440.3,16916.3,11016.4,10198,0,1843.91,200,-0.195401,0
10770.3,10384.6,16834.5,10963.6,10113.4,0,1979.9,0,-0.230418,0
10697.7,10332.5,16754.7,10914.2,10031.9,0,2088.06,0,-0.283456,0
10628.3,10284,16676.9,10868.3,9953.89,0,2039.61,0,-0.317651,0
10562.2,10239.1,16601.2,10825.9,9879.27,0,2000,200,-0.331565,0
10499.5,10198,16527.6,10787,9808.16,0,1800,200,-0.357028,0
10440.3,10160.7,16456,10751.7,9740.64,0,1600,0,-0.369554,0
9765.24,8354.64,15420.8,9068.63,7440.43,0,2863.56,3280.24,-0.35915,0
9602.08,8207.31,15411.7,8919.64,7280.11,0,3046.31,3440.93,-0.309375,0
9440.34,8062.26,15405.2,8772.68,7121.8,0,3231.1,3605.55,-0.222706,0
9280.09,7919.6,15401.3,8627.86,6965.63,0,3417.6,3773.59,-0.109582,0
9121.4,7779.46,15400,8485.28,6811.75,0,3605.55,3944.62,0.0230933,0
8964.37,7641.99,15401.3,8345.06,6660.33,0,3794.73,4103.66,0.162125,0
8809.09,7507.33,15405.2,8207.31,6511.53,0,3984.97,4103.66,0.24129,0
8655.63,7375.64,15411.7,8072.17,6365.53,0,4176.12,3969.89,0.262904,0
5772.35,5603.57,11954.9,6003.33,3605.55,0,5400,2000,-0.173223,0
5727.13,5614.27,11764.4,6000,3600,0,5403.7,2009.98,-0.152424,0
5688.58,5632.05,11574.1,6000,3600,0,5414.79,2000,-0.142175,0
5632.05,5656.85,11384.2,6000,3605.55,0,5385.17,2000,-0.131065,0
5578.53,5688.58,11194.6,6000,3622.15,0,5314.13,2009.98,-0.106488,0
18462.9,18523.5,21910.7,19303.9,15849.3,0,3052.87,4161.73,-0.82868,0
18309.6,18366.3,21891.6,19138.4,15815.2,0,2884.44,4000,-0.819504,0
18157.1,18209.9,21874.2,18973.7,15783.5,0,2720.29,3841.87,-0.808155,0
18005.6,18054.4,21858.6,18809.6,15754.4,0,2561.25,3687.82,-0.794415,0
17855,17899.7,21844.9,18646.2,15727.7,0,2408.32,3538.36,-0.771751,0
17705.4,17746,21833,18483.5,15703.5,0,2262.74,3394.11,-0.751185,0
14145,14007.1,20695.9,14449.9,13862.2,0,282.843,2039.61,-0.342326,0
14035.7,13870.8,20565,14317.8,13724.4,0,447.214,2088.06,-0.328727,0
13928.4,13736.1,20435.3,14187.3,13588.2,0,632.456,2154.07,-0.31577,0
13823.2,13602.9,20306.6,14058.4,13453.6,0,824.621,2236.07,-0.310153,0
13720.1,13471.5,20179.2,13931.3,13320.7,0,1019.8,2059.13,-0.303265,0
13619.1,13341.7,20052.9,13805.8,13189.4,0,1216.55,1886.8,-0.309422,0
13520.4,13213.6,19927.9,13682.1,13059.9,0,1414.21,1708.8,-0.300461,0
11108.6,10690.2,17181.4,11264.1,10465.2,0,1886.8,282.843,-0.0913945,0
11030.9,10632,17098.5,11208.9,10378.8,0,2000,200,-0.126067,0
10956.3,10577.3,17017.6,11157.1,10295.6,0,2126.03,200,-0.182415,0
10884.9,10526.2,16938.7,11108.6,10215.7,0,2262.74,200,-0.248374,0
10816.7,10478.5,16861.8,11063.5,10139,0,2209.07,200,-0.29365,0
10751.7,10434.6,16786.9,11021.8,10065.8,0,2009.98,0,-0.330694,0
10690.2,10394.2,16714.1,10983.6,9996,0,1811.08,0,-0.353469,0
9720.08,8345.06,15611.5,9055.38,7402.7,0,2973.21,3328.66,-0.272119,0
9560.33,8202.44,15605.1,8910.67,7247.07,0,3162.28,3498.57,-0.197714,0
9402.13,8062.26,15601.3,8768.12,7093.66,0,3352.61,3671.51,-0.115384,0
9245.54,7924.65,15600,8627.86,6942.62,0,3544.01,3820.99,-0.0248151,0
9090.65,7789.74,15601.3,8489.99,6794.12,0,3736.31,3969.89,0.0582875,0
8937.56,7657.68,15605.1,8354.64,6648.31,0,3929.38,4103.66,0.099423,0
8786.35,7528.61,15611.5,8221.92,6505.38,0,4123.11,4103.66,0.0706897,0
5966.57,5803.45,12016.7,6203.23,3805.26,0,5600,2200,-0.164596,0
5922.84,5813.78,11827.1,6200,3800,0,5603.57,2209.07,-0.14968,0
5882.18,5830.95,11637.9,6200,3800,0,5614.27,2200,-0.135239,0
5824.09,5854.91,11449,6200,3805.26,0,5458.94,2200,-0.12018,0
5772.35,5885.58,11260.6,6200,3820.99,0,5283.94,2209.07,-0.106911,0
18439.1,18491.1,22090.7,19252,16012.5,0,3000,3883.3,-0.817051,0
18287.7,18335.8,22073.5,19088.2,15981.2,0,2842.53,3720.22,-0.804214,0
18137.3,18181.3,22058.1,18925.1,15952.4,0,2690.72,3560.9,-0.788623,0
14204.2,14018.6,20717.1,14469.3,13870.8,0,565.685,1897.37,-0.306211,0
14098.2,13885.2,20588.3,14340.2,13736.1,0,721.11,1969.77,-0.311631,0
13994.3,13753.5,20460.7,14212.7,13602.9,0,894.427,2059.13,-0.31284,0
13892.4,13623.5,20334.2,14086.9,13471.5,0,1077.03,2154.07,-0.312686,0
13792.8,13495.2,20208.9,13962.8,13341.7,0,1264.91,1969.77,-0.308219,0
11216.1,10824,17281.2,11401.8,10560.3,0,2163.33,0,-0.0625909,0
11142.7,10770.3,17201.2,11350.8,10478.5,0,2280.35,200,-0.139424,0
11072.5,10720.1,17123.1,11303.1,10400,0,2408.32,200,-0.222112,0
11005.5,10673.3,17047,11258.8,10324.7,0,2236.07,0,-0.278196,0
10941.7,10630.1,16972.9,11217.8,10252.8,0,2039.61,0,-0.329044,0
10881.2,10590.6,16900.9,11180.3,10184.3,0,1843.91,0,-0.35022,0
9840.73,8485.28,15811.4,9193.48,7528.61,0,2912.04,3224.9,-0.247379,0
9682.97,8345.06,15805.1,9050.97,7375.64,0,3104.83,3394.11,-0.193442,0
9526.8,8207.31,15801.3,8910.67,7224.96,0,3298.48,3538.36,-0.135025,0
9372.3,8072.17,15800,8772.68,7076.72,0,3492.85,3687.82,-0.0738478,0
9219.54,7939.77,15801.3,8637.13,6931.09,0,3687.82,3820.99,-0.020678,0
9068.63,7810.25,15805.1,8504.12,6788.23,0,3883.3,3959.8,-0.00162432,0
8919.64,7683.75,15811.4,8373.77,6648.31,0,4079.22,4103.66,-0.0294419,0
6161.17,6003.33,12081.4,6403.12,4005,0,5800,2400,-0.160089,0
6118.82,6013.32,11892.9,6400,4000,0,5727.13,2408.32,-0.143624,0
6072.89,6029.93,11704.7,6400,4000,0,5546.17,2400,-0.126662,0
6016.64,6053.1,11516.9,6400,4005,0,5366.56,2400,-0.105238,0
5966.57,6082.76,11329.6,6400,4019.95,0,5188.45,2408.32,-0.0935438,0
11260.6,10914.2,17307.8,11497.8,10584.9,0,2473.86,200,-0.207084,0
11194.6,10868.3,17232.5,11454.3,10510.9,0,2280.35,200,-0.283916,0
9808.16,8489.99,16005,9193.48,7507.33,0,3059.41,3255.76,-0.203053,0
9654.01,8354.64,16001.3,9055.38,7359.35,0,3255.76,3405.88,-0.163421,0
9501.58,8221.92,16000,8919.64,7213.88,0,3452.54,3538.36,-0.122143,0
9350.94,8091.97,16001.3,8786.35,7071.07,0,3649.66,3676.96,-0.0853981,0
6315.06,6212.89,11961.6,6600,4200,0,5646.24,2607.68,-0.133568,0
6264.18,6228.96,11774.5,6600,4200,0,5462.6,2600,-0.119713,0
6209.67,6251.4,11587.9,6600,4204.76,0,5280.15,2600,-0.0932505,0
6161.17,6280.13,11401.8,6600,4219,0,5099.02,2607.68,-0.0814164,0
21844.9,21808.3,26690.8,22346.4,20591.3,0,4816.64,3671.51,-0.757705,0
21715.4,21674.9,26675.1,22203.6,20565,0,4617.36,3498.57,-0.74079,0
